event_id,investigation_type,event_date,location,country,injury_severity,aircraft_damage,aircraft_category,make,model,amateur_built,number_of_engines,engine_type,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition
20170110X14448,Accident,2017-01-01,"Casa Grande, AZ",United States,Non-Fatal,Substantial,Airplane,larson_roger_h,RV-7,Yes,1.0,Reciprocating,0.0,0.0,0.0,1.0,VMC
20170117X42903,Accident,2017-01-01,"New Braunfels, TX",United States,Non-Fatal,Substantial,Airplane,quicksilver,GT-400 R503,No,1.0,Reciprocating,0.0,0.0,0.0,1.0,VMC
20170103X14851,Accident,2017-01-02,"Payson, AZ",United States,Fatal,Destroyed,Airplane,cessna,T210K,No,1.0,Reciprocating,4.0,0.0,0.0,0.0,IMC
20170103X43747,Accident,2017-01-03,"Paradise, MT",United States,Non-Fatal,Substantial,Airplane,softex_invest_llc,V-24L,No,2.0,Reciprocating,0.0,0.0,2.0,0.0,VMC
20170105X45917,Accident,2017-01-04,"Napa, CA",United States,Non-Fatal,Substantial,Airplane,schosanski_john_h,COZY MK IV R,Yes,1.0,Reciprocating,0.0,0.0,0.0,1.0,VMC
20170105X51011,Accident,2017-01-04,"Nacogdoches, TX",United States,Non-Fatal,Substantial,Airplane,mooney_aircraft_corp.,M20,No,1.0,Reciprocating,0.0,1.0,0.0,0.0,VMC
20170105X81632,Accident,2017-01-04,"Brookfield, WI",United States,Fatal,Substantial,Airplane,demmer,BD-4,Yes,1.0,Reciprocating,1.0,0.0,1.0,1.0,VMC
20170105X41106,Accident,2017-01-05,"San Pedro, CA",United States,Fatal,Substantial,Helicopter,robinson_helicopter,R22 BETA,No,1.0,Reciprocating,2.0,0.0,0.0,0.0,VMC
20170105X74726,Accident,2017-01-05,"Gurdon, AR",United States,Fatal,Destroyed,Airplane,columbia_aircraft_mfg,LC41 550FG,No,1.0,Reciprocating,2.0,0.0,0.0,0.0,VMC
20170105X85226,Accident,2017-01-05,"Atlanta, GA",United States,Non-Fatal,Substantial,Airplane,aircraft_mfg_&_development_co,CH 2000,No,1.0,Reciprocating,0.0,0.0,1.0,0.0,VMC
20170112X50410,Accident,2017-01-05,"Tangara da Serra, Brazil",Brazil,Fatal,Substantial,Airplane,cessna,172,No,0.0,unknown,2.0,0.0,2.0,0.0,unknown
20170111X63040,Incident,2017-01-06,"Brisbane, Australia",Australia,unknown,Minor,Airplane,boeing,737,No,0.0,unknown,0.0,0.0,0.0,0.0,unknown
20170119X13551,Accident,2017-01-06,"Lakeport, CA",United States,unknown,Substantial,Airplane,cessna,175,No,1.0,Reciprocating,0.0,0.0,0.0,0.0,VMC
